"startTime";"endTime";"Wind power production - real time data"
"2025-03-28T23:00:00.000Z";"2025-03-28T23:03:00.000Z";5506.4
"2025-03-28T23:03:00.000Z";"2025-03-28T23:06:00.000Z";5602.7
"2025-03-28T23:06:00.000Z";"2025-03-28T23:09:00.000Z";5661.3
"2025-03-28T23:09:00.000Z";"2025-03-28T23:12:00.000Z";5650
"2025-03-28T23:12:00.000Z";"2025-03-28T23:15:00.000Z";5607
"2025-03-28T23:15:00.000Z";"2025-03-28T23:18:00.000Z";5654
"2025-03-28T23:18:00.000Z";"2025-03-28T23:21:00.000Z";5522.1
"2025-03-28T23:21:00.000Z";"2025-03-28T23:24:00.000Z";5566.5
"2025-03-28T23:24:00.000Z";"2025-03-28T23:27:00.000Z";5554.5
"2025-03-28T23:27:00.000Z";"2025-03-28T23:30:00.000Z";5598.5
"2025-03-28T23:30:00.000Z";"2025-03-28T23:33:00.000Z";5566.5
"2025-03-28T23:33:00.000Z";"2025-03-28T23:36:00.000Z";5559.5
"2025-03-28T23:36:00.000Z";"2025-03-28T23:39:00.000Z";5489
"2025-03-28T23:39:00.000Z";"2025-03-28T23:42:00.000Z";5453.5
"2025-03-28T23:42:00.000Z";"2025-03-28T23:45:00.000Z";5433.5
"2025-03-28T23:45:00.000Z";"2025-03-28T23:48:00.000Z";5379.1
"2025-03-28T23:48:00.000Z";"2025-03-28T23:51:00.000Z";5290
"2025-03-28T23:51:00.000Z";"2025-03-28T23:54:00.000Z";5300.5
"2025-03-28T23:54:00.000Z";"2025-03-28T23:57:00.000Z";5276.5
"2025-03-28T23:57:00.000Z";"2025-03-29T00:00:00.000Z";5300
"2025-03-29T00:00:00.000Z";"2025-03-29T00:03:00.000Z";5324.5
"2025-03-29T00:03:00.000Z";"2025-03-29T00:06:00.000Z";5311.5
"2025-03-29T00:06:00.000Z";"2025-03-29T00:09:00.000Z";5305
"2025-03-29T00:09:00.000Z";"2025-03-29T00:12:00.000Z";5335.5
"2025-03-29T00:12:00.000Z";"2025-03-29T00:15:00.000Z";5341.4
"2025-03-29T00:15:00.000Z";"2025-03-29T00:18:00.000Z";5289.1
"2025-03-29T00:18:00.000Z";"2025-03-29T00:21:00.000Z";5244.6
"2025-03-29T00:21:00.000Z";"2025-03-29T00:24:00.000Z";5271.5
"2025-03-29T00:24:00.000Z";"2025-03-29T00:27:00.000Z";5270.4
"2025-03-29T00:27:00.000Z";"2025-03-29T00:30:00.000Z";5267
"2025-03-29T00:30:00.000Z";"2025-03-29T00:33:00.000Z";5296.6
