startTime;endTime;value
2025-03-29T0000;2025-03-29T0100;21249.66
2025-03-29T0100;2025-03-29T0200;20805.190000000002
2025-03-29T0200;2025-03-29T0300;20618.3
2025-03-29T0300;2025-03-29T0400;20432.84
2025-03-29T0400;2025-03-29T0500;20458.059999999998
2025-03-29T0500;2025-03-29T0600;19964.05
2025-03-29T0600;2025-03-29T0700;19947.85
2025-03-29T0700;2025-03-29T0800;19065.91
2025-03-29T0800;2025-03-29T0900;18663.95
2025-03-29T0900;2025-03-29T1000;17555.06
2025-03-29T1000;2025-03-29T1100;16580.199999999997
2025-03-29T1100;2025-03-29T1200;17928.75
2025-03-29T1200;2025-03-29T1300;17622.28
2025-03-29T1300;2025-03-29T1400;19499.36
2025-03-29T1400;2025-03-29T1500;20244.98
2025-03-29T1500;2025-03-29T1600;20004.44
2025-03-29T1600;2025-03-29T1700;19634.63
2025-03-29T1700;2025-03-29T1800;20443.93
2025-03-29T1800;2025-03-29T1900;20509.04
2025-03-29T1900;2025-03-29T2000;19003.510000000002
2025-03-29T2000;2025-03-29T2100;17439.59
2025-03-29T2100;2025-03-29T2200;16650.86
2025-03-29T2200;2025-03-29T2300;16054.630000000001
2025-03-29T2300;2025-03-30T0000;15884.98
