"startTime";"endTime";"Wind power generation - 15 min data"
"2020-03-30T00:00:00.000Z";"2020-03-30T01:00:00.000Z";531
"2020-03-30T01:00:00.000Z";"2020-03-30T02:00:00.000Z";571
"2020-03-30T02:00:00.000Z";"2020-03-30T03:00:00.000Z";578
"2020-03-30T03:00:00.000Z";"2020-03-30T04:00:00.000Z";623
"2020-03-30T04:00:00.000Z";"2020-03-30T05:00:00.000Z";569
"2020-03-30T05:00:00.000Z";"2020-03-30T06:00:00.000Z";430
"2020-03-30T06:00:00.000Z";"2020-03-30T07:00:00.000Z";276
"2020-03-30T07:00:00.000Z";"2020-03-30T08:00:00.000Z";239
"2020-03-30T08:00:00.000Z";"2020-03-30T09:00:00.000Z";295
"2020-03-30T09:00:00.000Z";"2020-03-30T10:00:00.000Z";334
"2020-03-30T10:00:00.000Z";"2020-03-30T11:00:00.000Z";367
"2020-03-30T11:00:00.000Z";"2020-03-30T12:00:00.000Z";430
"2020-03-30T12:00:00.000Z";"2020-03-30T13:00:00.000Z";480
"2020-03-30T13:00:00.000Z";"2020-03-30T14:00:00.000Z";516
"2020-03-30T14:00:00.000Z";"2020-03-30T15:00:00.000Z";559
"2020-03-30T15:00:00.000Z";"2020-03-30T16:00:00.000Z";515
"2020-03-30T16:00:00.000Z";"2020-03-30T17:00:00.000Z";426
"2020-03-30T17:00:00.000Z";"2020-03-30T18:00:00.000Z";556
"2020-03-30T18:00:00.000Z";"2020-03-30T19:00:00.000Z";650
"2020-03-30T19:00:00.000Z";"2020-03-30T20:00:00.000Z";709
"2020-03-30T20:00:00.000Z";"2020-03-30T21:00:00.000Z";739
"2020-03-30T21:00:00.000Z";"2020-03-30T22:00:00.000Z";811
"2020-03-30T22:00:00.000Z";"2020-03-30T23:00:00.000Z";844
"2020-03-30T23:00:00.000Z";"2020-03-31T00:00:00.000Z";1014
