startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2018-03-29T00:00:00.000Z;2018-03-29T01:00:00.000Z;694;1967;0.352821556
2018-03-29T01:00:00.000Z;2018-03-29T02:00:00.000Z;755;1967;0.383833249
2018-03-29T02:00:00.000Z;2018-03-29T03:00:00.000Z;746;1967;0.379257753
2018-03-29T03:00:00.000Z;2018-03-29T04:00:00.000Z;774;1967;0.393492628
2018-03-29T04:00:00.000Z;2018-03-29T05:00:00.000Z;798;1967;0.40569395
2018-03-29T05:00:00.000Z;2018-03-29T06:00:00.000Z;737;1993;0.36979428
2018-03-29T06:00:00.000Z;2018-03-29T07:00:00.000Z;643;2008;0.320219124
2018-03-29T07:00:00.000Z;2018-03-29T08:00:00.000Z;534;2008;0.265936255
2018-03-29T08:00:00.000Z;2018-03-29T09:00:00.000Z;481;2008;0.239541833
2018-03-29T09:00:00.000Z;2018-03-29T10:00:00.000Z;535;2008;0.266434263
2018-03-29T10:00:00.000Z;2018-03-29T11:00:00.000Z;595;2008;0.296314741
2018-03-29T11:00:00.000Z;2018-03-29T12:00:00.000Z;693;2008;0.345119522
2018-03-29T12:00:00.000Z;2018-03-29T13:00:00.000Z;764;2008;0.380478088
2018-03-29T13:00:00.000Z;2018-03-29T14:00:00.000Z;761;2008;0.378984064
2018-03-29T14:00:00.000Z;2018-03-29T15:00:00.000Z;759;2008;0.377988048
2018-03-29T15:00:00.000Z;2018-03-29T16:00:00.000Z;730;2008;0.363545817
2018-03-29T16:00:00.000Z;2018-03-29T17:00:00.000Z;715;2008;0.356075697
2018-03-29T17:00:00.000Z;2018-03-29T18:00:00.000Z;726;2008;0.361553785
2018-03-29T18:00:00.000Z;2018-03-29T19:00:00.000Z;780;2008;0.388446215
2018-03-29T19:00:00.000Z;2018-03-29T20:00:00.000Z;789;2008;0.392928287
2018-03-29T20:00:00.000Z;2018-03-29T21:00:00.000Z;726;2008;0.361553785
2018-03-29T21:00:00.000Z;2018-03-29T22:00:00.000Z;694;2008;0.34561753
2018-03-29T22:00:00.000Z;2018-03-29T23:00:00.000Z;723;2008;0.360059761
2018-03-29T23:00:00.000Z;2018-03-30T00:00:00.000Z;615;2008;0.3062749
