"startTime";"endTime";"Wind power production - real time data"
"2024-03-28T23:01:00.000Z";"2024-03-28T23:01:00.000Z";1420
"2024-03-28T23:04:00.000Z";"2024-03-28T23:04:00.000Z";1427.5
"2024-03-28T23:07:00.000Z";"2024-03-28T23:07:00.000Z";1416.5
"2024-03-28T23:10:00.000Z";"2024-03-28T23:10:00.000Z";1414.5
"2024-03-28T23:13:00.000Z";"2024-03-28T23:13:00.000Z";1422
"2024-03-28T23:16:00.000Z";"2024-03-28T23:16:00.000Z";1432
"2024-03-28T23:19:00.000Z";"2024-03-28T23:19:00.000Z";1440.5
"2024-03-28T23:22:00.000Z";"2024-03-28T23:22:00.000Z";1434
"2024-03-28T23:25:00.000Z";"2024-03-28T23:25:00.000Z";1435.5
"2024-03-28T23:28:00.000Z";"2024-03-28T23:28:00.000Z";1453
"2024-03-28T23:31:00.000Z";"2024-03-28T23:31:00.000Z";1455
"2024-03-28T23:34:00.000Z";"2024-03-28T23:34:00.000Z";1462.5
"2024-03-28T23:37:00.000Z";"2024-03-28T23:37:00.000Z";1473.5
"2024-03-28T23:40:00.000Z";"2024-03-28T23:40:00.000Z";1482.5
"2024-03-28T23:43:00.000Z";"2024-03-28T23:43:00.000Z";1482.5
"2024-03-28T23:46:00.000Z";"2024-03-28T23:46:00.000Z";1503
"2024-03-28T23:49:00.000Z";"2024-03-28T23:49:00.000Z";1521.5
"2024-03-28T23:52:00.000Z";"2024-03-28T23:52:00.000Z";1556
"2024-03-28T23:55:00.000Z";"2024-03-28T23:55:00.000Z";1575.5
"2024-03-28T23:58:00.000Z";"2024-03-28T23:58:00.000Z";1585
"2024-03-29T00:01:00.000Z";"2024-03-29T00:01:00.000Z";1638.5
"2024-03-29T00:04:00.000Z";"2024-03-29T00:04:00.000Z";1660.5
"2024-03-29T00:07:00.000Z";"2024-03-29T00:07:00.000Z";1685.5
"2024-03-29T00:10:00.000Z";"2024-03-29T00:10:00.000Z";1721.9
"2024-03-29T00:13:00.000Z";"2024-03-29T00:13:00.000Z";1747.4
"2024-03-29T00:16:00.000Z";"2024-03-29T00:16:00.000Z";1755
"2024-03-29T00:19:00.000Z";"2024-03-29T00:19:00.000Z";1787.5
"2024-03-29T00:22:00.000Z";"2024-03-29T00:22:00.000Z";1799
"2024-03-29T00:25:00.000Z";"2024-03-29T00:25:00.000Z";1798
"2024-03-29T00:28:00.000Z";"2024-03-29T00:28:00.000Z";1804.5
"2024-03-29T00:31:00.000Z";"2024-03-29T00:31:00.000Z";1826.5
"2024-03-29T00:34:00.000Z";"2024-03-29T00:34:00.000Z";1844
"2024-03-29T00:37:00.000Z";"2024-03-29T00:37:00.000Z";1859.5
