startTime;endTime;value;Total production capacity used in the wind power forecast;Rate of production
2024-03-29T0000;2024-03-29T0100;1727.82251;7147.7;0.241731258
2024-03-29T0100;2024-03-29T0200;2025.732485;7147.7;0.283410396
2024-03-29T0200;2024-03-29T0300;2335.58252;7147.7;0.32676001
2024-03-29T0300;2024-03-29T0400;2672.084898;7147.7;0.373838423
2024-03-29T0400;2024-03-29T0500;2738.714965;7147.7;0.383160312
2024-03-29T0500;2024-03-29T0600;2725.652465;7147.7;0.381332801
2024-03-29T0600;2024-03-29T0700;2539.860048;7147.7;0.355339486
2024-03-29T0700;2024-03-29T0800;2339.065003;7147.7;0.327247227
2024-03-29T0800;2024-03-29T0900;2169.607483;7147.7;0.303539248
2024-03-29T0900;2024-03-29T1000;2054.022493;7147.7;0.287368313
2024-03-29T1000;2024-03-29T1100;2090.860018;7147.7;0.292522072
2024-03-29T1100;2024-03-29T1200;2198.984985;7147.7;0.307649312
2024-03-29T1200;2024-03-29T1300;2348.19995;7147.7;0.328525253
2024-03-29T1300;2024-03-29T1400;2492.452515;7147.7;0.348706929
2024-03-29T1400;2024-03-29T1500;2685.237488;7147.7;0.375678538
2024-03-29T1500;2024-03-29T1600;2929.89502;7147.7;0.409907386
2024-03-29T1600;2024-03-29T1700;3284.309998;7147.7;0.459491864
2024-03-29T1700;2024-03-29T1800;3370.83496;7147.7;0.471597152
2024-03-29T1800;2024-03-29T1900;3304.587525;7147.7;0.462328795
2024-03-29T1900;2024-03-29T2000;3287.877503;7147.7;0.459990976
2024-03-29T2000;2024-03-29T2100;3284.837525;7147.7;0.459565668
2024-03-29T2100;2024-03-29T2200;3395.942505;7147.7;0.475109826
2024-03-29T2200;2024-03-29T2300;3513.392518;7147.7;0.491541687
2024-03-29T2300;2024-03-30T0000;3450.575075;7147.7;0.482753204
