startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2023-03-30T00:00:00.000Z;2023-03-30T01:00:00.000Z;885;5575;0.158744395
2023-03-30T01:00:00.000Z;2023-03-30T02:00:00.000Z;800;5575;0.143497758
2023-03-30T02:00:00.000Z;2023-03-30T03:00:00.000Z;814;5575;0.146008969
2023-03-30T03:00:00.000Z;2023-03-30T04:00:00.000Z;918;5575;0.164663677
2023-03-30T04:00:00.000Z;2023-03-30T05:00:00.000Z;1064;5575;0.190852018
2023-03-30T05:00:00.000Z;2023-03-30T06:00:00.000Z;1137;5575;0.203946188
2023-03-30T06:00:00.000Z;2023-03-30T07:00:00.000Z;1032;5575;0.185112108
2023-03-30T07:00:00.000Z;2023-03-30T08:00:00.000Z;777;5575;0.139372197
2023-03-30T08:00:00.000Z;2023-03-30T09:00:00.000Z;914;5575;0.163946188
2023-03-30T09:00:00.000Z;2023-03-30T10:00:00.000Z;1320;5575;0.2367713
2023-03-30T10:00:00.000Z;2023-03-30T11:00:00.000Z;1511;5575;0.27103139
2023-03-30T11:00:00.000Z;2023-03-30T12:00:00.000Z;1717;5575;0.307982063
2023-03-30T12:00:00.000Z;2023-03-30T13:00:00.000Z;2110;5575;0.378475336
2023-03-30T13:00:00.000Z;2023-03-30T14:00:00.000Z;2161;5575;0.387623318
2023-03-30T14:00:00.000Z;2023-03-30T15:00:00.000Z;2120;5575;0.380269058
2023-03-30T15:00:00.000Z;2023-03-30T16:00:00.000Z;2243;5575;0.402331839
2023-03-30T16:00:00.000Z;2023-03-30T17:00:00.000Z;2148;5575;0.38529148
2023-03-30T17:00:00.000Z;2023-03-30T18:00:00.000Z;2476;5575;0.444125561
2023-03-30T18:00:00.000Z;2023-03-30T19:00:00.000Z;3076;5575;0.551748879
2023-03-30T19:00:00.000Z;2023-03-30T20:00:00.000Z;3545;5575;0.635874439
2023-03-30T20:00:00.000Z;2023-03-30T21:00:00.000Z;3717;5575;0.666726457
2023-03-30T21:00:00.000Z;2023-03-30T22:00:00.000Z;3740;5575;0.670852018
2023-03-30T22:00:00.000Z;2023-03-30T23:00:00.000Z;3716;5575;0.666547085
2023-03-30T23:00:00.000Z;2023-03-31T00:00:00.000Z;3729;5575;0.668878924
