startTime;endTime;v alue;Total production capacity used in the wind power forecast;Rate of production
2024-03-30T0000;2024-03-30T0100;3455.487488;7147.7;0.483440476
2024-03-30T0100;2024-03-30T0200;3409.407533;7147.7;0.476993653
2024-03-30T0200;2024-03-30T0300;3209.682495;7147.7;0.449051093
2024-03-30T0300;2024-03-30T0400;3055.50244;7147.7;0.42748051
2024-03-30T0400;2024-03-30T0500;2957.95752;7147.7;0.413833474
2024-03-30T0500;2024-03-30T0600;2703.292418;7147.7;0.378204516
2024-03-30T0600;2024-03-30T0700;2383.440003;7147.7;0.333455518
2024-03-30T0700;2024-03-30T0800;2139.597535;7147.7;0.299340702
2024-03-30T0800;2024-03-30T0900;1876.195008;7147.7;0.262489333
2024-03-30T0900;2024-03-30T1000;1746.554993;7147.7;0.244352028
2024-03-30T1000;2024-03-30T1100;1918.567478;7147.7;0.26841746
2024-03-30T1100;2024-03-30T1200;2050.659973;7147.7;0.286897879
2024-03-30T1200;2024-03-30T1300;1989.959993;7147.7;0.27840564
2024-03-30T1300;2024-03-30T1400;1930.869995;7147.7;0.270138645
2024-03-30T1400;2024-03-30T1500;1891.38754;7147.7;0.264614847
2024-03-30T1500;2024-03-30T1600;1797.252503;7147.7;0.251444871
2024-03-30T1600;2024-03-30T1700;1871.062503;7147.7;0.261771269
2024-03-30T1700;2024-03-30T1800;1632.164978;7147.7;0.228348277
2024-03-30T1800;2024-03-30T1900;1508.01749;7147.7;0.210979405
2024-03-30T1900;2024-03-30T2000;1603.705018;7147.7;0.224366582
2024-03-30T2000;2024-03-30T2100;1499.359988;7147.7;0.209768175
2024-03-30T2100;2024-03-30T2200;1417.252503;7147.7;0.198280916
2024-03-30T2200;2024-03-30T2300;1498.435028;7147.7;0.209638769
2024-03-30T2300;2024-03-31T0000;1404.670013;7147.7;0.196520561
