Unit #,Pmax (MW),Pmin (MW),R+ (MW),R- (MW),RU (MW/h),RD (MW/h),UT (h),DT (h),wind
1,152,0,40,40,120,120,8,4,False
2,152,0,40,40,120,120,8,4,False
3,350,0,70,70,350,350,8,8,False
4,591,0,180,180,240,240,12,10,False
5,60,0,60,60,60,60,4,2,False
6,155,0,30,30,155,155,8,8,False
7,155,0,30,30,155,155,8,8,False
8,400,0,0,0,280,280,1,1,False
9,400,0,0,0,280,280,1,1,False
10,300,0,0,0,300,300,0,0,False
11,310,0,60,60,180,180,8,8,False
12,350,0,40,40,240,240,8,8,False
13,,0,0,0,100,100,0,0,True
14,,0,0,0,100,100,0,0,True
15,,0,0,0,100,100,0,0,True
16,,0,0,0,100,100,0,0,True
17,,0,0,0,100,100,0,0,True
18,,0,0,0,100,100,0,0,True
