Battery Capacity (MWh),Charging Rate (MW),Discharging Rate (MW),Charge Efficiency,Discharge Efficiency,Objective Value ($),Avg Market Price ($/MWh),Total Production (MW)
100,50,50,0.8,0.8,1223558.064690918,9.158750000000001,52267.506389999966
100,50,50,0.8,0.9,1223558.064690918,9.158750000000001,52267.506389999966
100,50,50,0.8,0.95,1223558.064690918,9.158750000000001,52267.506389999966
100,50,50,0.9,0.8,1223561.7646909181,9.158750000000001,52277.506389999966
100,50,50,0.9,0.9,1223561.7646909181,9.158750000000001,52217.07498999996
100,50,50,0.9,0.95,1223561.7646909181,9.158750000000001,52277.506389999966
100,50,50,0.95,0.8,1223563.614690918,9.158750000000001,52222.07498999996
100,50,50,0.95,0.9,1223563.6146909182,9.158750000000001,52223.08217999997
100,50,50,0.95,0.95,1223563.6146909182,9.158750000000001,52282.506389999966
100,50,100,0.8,0.8,1223558.064690918,9.158750000000001,52267.506389999966
100,50,100,0.8,0.9,1223558.064690918,9.158750000000001,52267.506389999966
100,50,100,0.8,0.95,1223558.064690918,9.158750000000001,52267.506389999966
100,50,100,0.9,0.8,1223561.7646909181,9.158750000000001,52218.08217999996
100,50,100,0.9,0.9,1223561.7646909181,9.158750000000001,52277.506389999966
100,50,100,0.9,0.95,1223561.7646909181,9.158750000000001,52277.506389999966
100,50,100,0.95,0.8,1223563.6146909182,9.158750000000001,52282.506389999966
100,50,100,0.95,0.9,1223563.6146909178,9.158750000000001,52282.506389999966
100,50,100,0.95,0.95,1223563.614690918,9.158750000000001,52219.05341999996
100,50,150,0.8,0.8,1223558.0646909182,9.158750000000001,52267.506389999966
100,50,150,0.8,0.9,1223558.0646909182,9.158750000000001,52267.506389999966
100,50,150,0.8,0.95,1223558.0646909182,9.158750000000001,52267.506389999966
100,50,150,0.9,0.8,1223561.7646909181,9.158750000000001,52277.506389999966
100,50,150,0.9,0.9,1223561.764690918,9.158750000000001,52218.08217999996
100,50,150,0.9,0.95,1223561.7646909181,9.158750000000001,52277.506389999966
100,50,150,0.95,0.8,1223563.6146909182,9.158750000000001,52219.05341999996
100,50,150,0.95,0.9,1223563.6146909182,9.158750000000001,52219.05341999996
100,50,150,0.95,0.95,1223563.6146909182,9.158750000000001,52219.05341999996
100,100,50,0.8,0.8,1223565.4646909179,9.158750000000001,52218.72858999996
100,100,50,0.8,0.9,1223565.464690918,9.158750000000001,52223.17303444441
