Battery Capacity (MWh),Charging Rate (MW),Discharging Rate (MW),Charge Efficiency,Discharge Efficiency,Hour,Market Price ($/MWh)
0,100,100,0.95,0.95,1,6.02
0,100,100,0.95,0.95,2,6.02
0,100,100,0.95,0.95,3,6.02
0,100,100,0.95,0.95,4,6.02
0,100,100,0.95,0.95,5,6.02
0,100,100,0.95,0.95,6,6.02
0,100,100,0.95,0.95,7,10.52
0,100,100,0.95,0.95,8,10.52
0,100,100,0.95,0.95,9,10.89
0,100,100,0.95,0.95,10,10.89
0,100,100,0.95,0.95,11,10.89
0,100,100,0.95,0.95,12,10.89
0,100,100,0.95,0.95,13,10.89
0,100,100,0.95,0.95,14,10.89
0,100,100,0.95,0.95,15,10.52
0,100,100,0.95,0.95,16,10.52
0,100,100,0.95,0.95,17,10.89
0,100,100,0.95,0.95,18,10.89
0,100,100,0.95,0.95,19,10.89
0,100,100,0.95,0.95,20,10.52
0,100,100,0.95,0.95,21,10.52
0,100,100,0.95,0.95,22,10.52
0,100,100,0.95,0.95,23,6.02
0,100,100,0.95,0.95,24,6.02
0,100,300,0.95,0.95,1,6.02
0,100,300,0.95,0.95,2,6.02
0,100,300,0.95,0.95,3,6.02
0,100,300,0.95,0.95,4,6.02
0,100,300,0.95,0.95,5,6.02
0,100,300,0.95,0.95,6,6.02
0,100,300,0.95,0.95,7,10.52
0,100,300,0.95,0.95,8,10.52
0,100,300,0.95,0.95,9,10.89
0,100,300,0.95,0.95,10,10.89
0,100,300,0.95,0.95,11,10.89
0,100,300,0.95,0.95,12,10.89
0,100,300,0.95,0.95,13,10.89
0,100,300,0.95,0.95,14,10.89
0,100,300,0.95,0.95,15,10.52
0,100,300,0.95,0.95,16,10.52
0,100,300,0.95,0.95,17,10.89
0,100,300,0.95,0.95,18,10.89
0,100,300,0.95,0.95,19,10.89
0,100,300,0.95,0.95,20,10.52
0,100,300,0.95,0.95,21,10.52
0,100,300,0.95,0.95,22,10.52
0,100,300,0.95,0.95,23,6.02
0,100,300,0.95,0.95,24,6.02
0,300,100,0.95,0.95,1,6.02
0,300,100,0.95,0.95,2,6.02
0,300,100,0.95,0.95,3,6.02
0,300,100,0.95,0.95,4,6.02
0,300,100,0.95,0.95,5,6.02
0,300,100,0.95,0.95,6,6.02
0,300,100,0.95,0.95,7,10.52
0,300,100,0.95,0.95,8,10.52
0,300,100,0.95,0.95,9,10.89
0,300,100,0.95,0.95,10,10.89
0,300,100,0.95,0.95,11,10.89
0,300,100,0.95,0.95,12,10.89
0,300,100,0.95,0.95,13,10.89
0,300,100,0.95,0.95,14,10.89
0,300,100,0.95,0.95,15,10.52
0,300,100,0.95,0.95,16,10.52
0,300,100,0.95,0.95,17,10.89
0,300,100,0.95,0.95,18,10.89
0,300,100,0.95,0.95,19,10.89
0,300,100,0.95,0.95,20,10.52
0,300,100,0.95,0.95,21,10.52
0,300,100,0.95,0.95,22,10.52
0,300,100,0.95,0.95,23,6.02
0,300,100,0.95,0.95,24,6.02
0,300,300,0.95,0.95,1,6.02
0,300,300,0.95,0.95,2,6.02
0,300,300,0.95,0.95,3,6.02
0,300,300,0.95,0.95,4,6.02
0,300,300,0.95,0.95,5,6.02
0,300,300,0.95,0.95,6,6.02
0,300,300,0.95,0.95,7,10.52
0,300,300,0.95,0.95,8,10.52
0,300,300,0.95,0.95,9,10.89
0,300,300,0.95,0.95,10,10.89
0,300,300,0.95,0.95,11,10.89
0,300,300,0.95,0.95,12,10.89
0,300,300,0.95,0.95,13,10.89
0,300,300,0.95,0.95,14,10.89
0,300,300,0.95,0.95,15,10.52
0,300,300,0.95,0.95,16,10.52
0,300,300,0.95,0.95,17,10.89
0,300,300,0.95,0.95,18,10.89
0,300,300,0.95,0.95,19,10.89
0,300,300,0.95,0.95,20,10.52
0,300,300,0.95,0.95,21,10.52
0,300,300,0.95,0.95,22,10.52
0,300,300,0.95,0.95,23,6.02
0,300,300,0.95,0.95,24,6.02
450,100,100,0.95,0.95,1,6.02
450,100,100,0.95,0.95,2,6.02
450,100,100,0.95,0.95,3,6.02
450,100,100,0.95,0.95,4,6.02
450,100,100,0.95,0.95,5,6.02
450,100,100,0.95,0.95,6,6.02
450,100,100,0.95,0.95,7,10.52
450,100,100,0.95,0.95,8,10.52
450,100,100,0.95,0.95,9,10.52
450,100,100,0.95,0.95,10,10.52
450,100,100,0.95,0.95,11,10.52
450,100,100,0.95,0.95,12,10.52
450,100,100,0.95,0.95,13,10.52
450,100,100,0.95,0.95,14,10.52
450,100,100,0.95,0.95,15,10.52
450,100,100,0.95,0.95,16,10.52
450,100,100,0.95,0.95,17,10.52
450,100,100,0.95,0.95,18,10.52
450,100,100,0.95,0.95,19,10.52
450,100,100,0.95,0.95,20,10.52
450,100,100,0.95,0.95,21,10.52
450,100,100,0.95,0.95,22,10.52
450,100,100,0.95,0.95,23,6.02
450,100,100,0.95,0.95,24,6.02
450,100,300,0.95,0.95,1,6.02
450,100,300,0.95,0.95,2,6.02
450,100,300,0.95,0.95,3,6.02
450,100,300,0.95,0.95,4,6.02
450,100,300,0.95,0.95,5,6.02
450,100,300,0.95,0.95,6,6.02
450,100,300,0.95,0.95,7,10.52
450,100,300,0.95,0.95,8,10.52
450,100,300,0.95,0.95,9,10.52
450,100,300,0.95,0.95,10,10.52
450,100,300,0.95,0.95,11,10.52
450,100,300,0.95,0.95,12,10.52
450,100,300,0.95,0.95,13,10.52
450,100,300,0.95,0.95,14,10.52
450,100,300,0.95,0.95,15,10.52
450,100,300,0.95,0.95,16,10.52
450,100,300,0.95,0.95,17,10.52
450,100,300,0.95,0.95,18,10.52
450,100,300,0.95,0.95,19,10.52
450,100,300,0.95,0.95,20,10.52
450,100,300,0.95,0.95,21,10.52
450,100,300,0.95,0.95,22,10.52
450,100,300,0.95,0.95,23,6.02
450,100,300,0.95,0.95,24,6.02
450,300,100,0.95,0.95,1,6.02
450,300,100,0.95,0.95,2,6.02
450,300,100,0.95,0.95,3,6.02
450,300,100,0.95,0.95,4,6.02
450,300,100,0.95,0.95,5,6.02
450,300,100,0.95,0.95,6,6.02
450,300,100,0.95,0.95,7,10.52
450,300,100,0.95,0.95,8,10.52
450,300,100,0.95,0.95,9,10.52
450,300,100,0.95,0.95,10,10.52
450,300,100,0.95,0.95,11,10.52
450,300,100,0.95,0.95,12,10.52
450,300,100,0.95,0.95,13,10.52
450,300,100,0.95,0.95,14,10.52
450,300,100,0.95,0.95,15,10.52
450,300,100,0.95,0.95,16,10.52
450,300,100,0.95,0.95,17,10.52
450,300,100,0.95,0.95,18,10.52
450,300,100,0.95,0.95,19,10.52
450,300,100,0.95,0.95,20,10.52
450,300,100,0.95,0.95,21,10.52
450,300,100,0.95,0.95,22,10.52
450,300,100,0.95,0.95,23,6.02
450,300,100,0.95,0.95,24,6.02
450,300,300,0.95,0.95,1,6.02
450,300,300,0.95,0.95,2,6.02
450,300,300,0.95,0.95,3,6.02
450,300,300,0.95,0.95,4,6.02
450,300,300,0.95,0.95,5,6.02
450,300,300,0.95,0.95,6,6.02
450,300,300,0.95,0.95,7,10.52
450,300,300,0.95,0.95,8,10.52
450,300,300,0.95,0.95,9,10.52
450,300,300,0.95,0.95,10,10.52
450,300,300,0.95,0.95,11,10.52
450,300,300,0.95,0.95,12,10.52
450,300,300,0.95,0.95,13,10.52
450,300,300,0.95,0.95,14,10.52
450,300,300,0.95,0.95,15,10.52
450,300,300,0.95,0.95,16,10.52
450,300,300,0.95,0.95,17,10.52
450,300,300,0.95,0.95,18,10.52
450,300,300,0.95,0.95,19,10.52
450,300,300,0.95,0.95,20,10.52
450,300,300,0.95,0.95,21,10.52
450,300,300,0.95,0.95,22,10.52
450,300,300,0.95,0.95,23,6.02
450,300,300,0.95,0.95,24,6.02
